url_len,host_len,special_char,is_https,url_digit,host_digit
61,21,2,0,0.09836065573770492,0.2857142857142857
45,27,2,1,0.0,0.0
56,16,2,1,0.10714285714285714,0.375
18,10,1,0,0.0,0.0
149,33,4,0,0.12080536912751678,0.5454545454545454
58,12,2,0,0.1206896551724138,0.5833333333333334
25,16,1,1,0.0,0.0
44,19,3,1,0.022727272727272728,0.05263157894736842
102,15,1,0,0.1568627450980392,1.0666666666666667
77,23,1,0,0.23376623376623376,0.782608695652174
49,23,2,1,0.0,0.0
54,20,2,0,0.0,0.0
28,14,1,0,0.03571428571428571,0.07142857142857142
43,11,1,0,0.06976744186046512,0.2727272727272727
23,15,1,0,0.0,0.0
96,10,1,0,0.0,0.0
81,18,2,0,0.012345679012345678,0.05555555555555555
43,26,2,0,0.0,0.0
67,28,1,1,0.0,0.0
25,13,1,1,0.0,0.0
51,27,4,0,0.0,0.0
94,24,3,1,0.1595744680851064,0.625
60,21,3,1,0.0,0.0
86,19,3,0,0.4186046511627907,1.894736842105263
33,11,1,1,0.0,0.0
202,11,1,0,0.33663366336633666,6.181818181818182
78,15,1,0,0.11538461538461539,0.6
124,46,5,1,0.1532258064516129,0.41304347826086957
83,31,2,1,0.0,0.0
104,24,3,1,0.15384615384615385,0.6666666666666666
24,17,3,0,0.0,0.0
79,26,2,0,0.0,0.0
62,14,2,0,0.0,0.0
80,21,2,0,0.075,0.2857142857142857
43,12,2,1,0.0,0.0
87,16,2,0,0.0,0.0
52,13,2,1,0.019230769230769232,0.07692307692307693
48,24,3,0,0.0,0.0
63,21,1,0,0.06349206349206349,0.19047619047619047
33,14,2,1,0.09090909090909091,0.21428571428571427
26,14,2,0,0.0,0.0
64,26,2,1,0.0,0.0
32,24,2,1,0.125,0.16666666666666666
45,12,1,0,0.0,0.0
18,6,1,0,0.05555555555555555,0.16666666666666666
104,28,4,0,0.25,0.9285714285714286
299,20,1,1,0.20735785953177258,3.1
57,24,2,1,0.0,0.0
55,46,5,1,0.21818181818181817,0.2608695652173913
62,27,2,1,0.0,0.0
66,27,2,1,0.015151515151515152,0.037037037037037035
27,11,2,0,0.0,0.0
20,11,1,1,0.0,0.0
37,30,3,0,0.0,0.0
56,21,1,0,0.0,0.0
74,19,2,0,0.06756756756756757,0.2631578947368421
45,36,6,1,0.06666666666666667,0.08333333333333333
78,18,2,0,0.0641025641025641,0.2777777777777778
35,17,2,0,0.0,0.0
155,22,2,0,0.0,0.0
57,21,2,0,0.0,0.0
22,6,1,1,0.18181818181818182,0.6666666666666666
83,19,1,1,0.04819277108433735,0.21052631578947367
19,11,2,0,0.15789473684210525,0.2727272727272727
36,12,2,0,0.19444444444444445,0.5833333333333334
22,14,1,0,0.0,0.0
67,15,2,0,0.0,0.0
648,18,3,1,0.2037037037037037,7.333333333333333
30,21,2,1,0.03333333333333333,0.047619047619047616
49,19,2,0,0.0,0.0
50,13,1,0,0.06,0.23076923076923078
44,17,2,0,0.0,0.0
39,32,2,0,0.0,0.0
36,28,2,0,0.0,0.0
33,21,3,1,0.0,0.0
51,15,1,0,0.0,0.0
61,14,1,0,0.06557377049180328,0.2857142857142857
37,15,2,0,0.0,0.0
72,12,2,0,0.1111111111111111,0.6666666666666666
156,11,1,0,0.14102564102564102,2.0
26,8,1,0,0.0,0.0
27,18,2,1,0.037037037037037035,0.05555555555555555
83,19,2,0,0.0,0.0
55,18,2,0,0.0,0.0
210,14,2,1,0.06666666666666667,1.0
128,50,5,1,0.1875,0.48
39,16,2,1,0.0,0.0
36,28,3,1,0.0,0.0
36,13,1,1,0.0,0.0
105,32,2,0,0.0,0.0
55,16,2,1,0.01818181818181818,0.0625
52,44,7,0,0.0,0.0
139,27,3,1,0.03597122302158273,0.18518518518518517
70,38,6,1,0.08571428571428572,0.15789473684210525
59,19,3,0,0.0,0.0
61,30,2,0,0.13114754098360656,0.26666666666666666
42,9,2,0,0.047619047619047616,0.2222222222222222
29,21,2,1,0.0,0.0
52,28,2,0,0.0,0.0
46,18,2,1,0.021739130434782608,0.05555555555555555
259,34,5,0,0.42084942084942084,3.2058823529411766
55,19,2,0,0.0,0.0
47,39,4,0,0.0851063829787234,0.10256410256410256
38,13,2,1,0.07894736842105263,0.23076923076923078
86,10,1,1,0.1744186046511628,1.5
113,24,2,0,0.168141592920354,0.7916666666666666
89,11,2,0,0.0,0.0
43,35,5,0,0.0,0.0
16,4,1,0,0.0,0.0
65,57,5,0,0.07692307692307693,0.08771929824561403
